state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,SC workers against active workers,ST workers against active workers,Approved Labour Budget,Persondays of Central Liability so far,SC persondays,ST persondays,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,% of NRM Expenditure(Public + Individual),% of Category B Works,% of Expenditure on Agriculture & Agriculture Allied Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
RAJASTHAN,BHARATPUR 10084,436670,612669,397237,784391,23137,100223,9228477,1716187,804765,18994,8601106,40,205.29276,3517,65141,100042,600,0,10029,30414,2799,49.67758,41,26.99562,16687.44798,23079.71058,1401.32942,192.54351
ANDHRA PRADESH,CENTRAL ANNAMAYYA,494238,347373,311957,354672,76668,16694,6426411,6859069,2658879,368014,11344404,55,220.88899,2546,149755,182511,2997,3,67250,31538,3000,30.85136,58,30.77071,25645.16548,15652.40299,6356.41111,593.09526
WEST BENGAL,DINAJPUR DAKSHIN 10162,835458,486101,668934,1180687,94233,947,0,1306,289,0,42310,26,456.47531,0,93,16,0,97,86645,89871,7,0.0,17,103.97818,0.0,3.89779,0.0,13.46962
BIHAR,JAMUI 10522,455884,475371,246407,267406,17522,10189,3163312,5388138,574085,12558,2483042,31,232.70063,175,65921,67036,141,12,8267,9945,10063,10.679,64,42.12652,3840.96294,11341.60934,7967.73045,135.19856
SIKKIM,Gangtok District 10144,7727,22953,7460,13608,1297,9875,636166,299143,13887,98135,208007,30,251.68471,80,5857,8081,41,0,1071,888,409,1.78514,69,66.16435,1603.4938,809.53616,112.72615,32.07512
BIHAR,KAIMUR (BHABUA),314299,421210,255868,142833,80780,793,6667704,4004447,365779,25179,3322808,35,221.05065,92,146260,29973,240,2,28852,16267,42787,12.16146,56,58.12205,10199.70076,6292.8731,5914.05234,35.36586
GUJARAT,DEVBHUMI DWARKA 10554,212384,100717,26185,36715,3855,50179,1701741,1414796,48761,378925,155647,25,221.73725,29,6469,4514,117,7,9780,7711,2436,46.50836,74,11.46226,3875.79104,391.16539,33.937,53.3375
JAMMU AND KASHMIR,JAMMU 10154,56377,162137,54120,95186,56,1072,473923,96619,109,15400,246179,22,344.16433,5,665,4980,24,0,28588,8922,699,1.42132,69,16.71983,3979.71774,105.31848,2202.3413,15.56538
JAMMU AND KASHMIR,SRINAGAR NAGAR,51053,64999,67751,181619,13887,2199,47374,44266,9405,8205,1874,26,305.83493,2,6004,40158,29,4,3821,3007,6884,1.50348,63,12.93571,3381.48686,479.65321,172.34596,63.99552
ASSAM,BAKSA 10448,241522,456440,227139,135940,7145,2530,2731778,1805554,140976,340781,527372,24,225.95436,5,7378,84272,116,0,51899,13000,5284,3.5945,100,19.53989,1017.93773,3553.65915,229.96263,0.0
ASSAM,EAST BONGAIGAON,214924,105808,123268,64632,18447,12292,597680,2669031,130042,228004,699794,26,254.6608,104,42281,133641,79,0,32149,33037,14429,3.1272,88,19.07849,2889.62859,1001.99295,28.4226,0.0
MADHYA PRADESH,SEHORE 10498,129208,307255,215707,301175,89110,50561,8839030,1588314,215215,664540,255701,41,227.10061,665,18704,75203,130,0,21708,10329,2299,23.64531,74,30.2626,4273.49373,4327.92192,1353.0781,432.82417
KERALA,MALAPPURAM 10131,260311,288016,224170,124363,45012,14945,3371169,2722798,410406,298249,4660326,34,363.32668,92,133888,60667,386,0,17011,22729,5733,16.9311,66,39.69334,15809.03217,13469.18411,823.58175,15.53322
BIHAR,SIWAN 10846,545555,480227,347847,339301,163671,6854,6873006,1154462,392120,2428,2949701,33,231.06613,199,66486,123921,245,2,27248,79554,14549,4.30541,83,78.39645,12307.07357,8727.25082,4889.08592,82.19403
MAHARASHTRA,RAIGAD 10154,268186,909200,84338,277953,14330,37512,1305403,263082,207864,26908,389793,20,293.40478,78,34748,195034,94,10,11315,21279,2532,0.77475,75,26.81523,1050.63405,867.85514,1144.10289,59.3787
TELANGANA,Nagarkurnool 10423,294258,282356,79744,250250,23794,36054,3131074,3638734,1008439,361476,1542173,38,253.46642,776,74223,69848,937,0,25054,26629,1209,38.4455,35,62.57927,11172.88372,8776.95919,2745.92268,331.16268
TAMIL NADU,CHENGALPATTU 10601,346946,221474,89077,213063,33271,4,6880621,9349054,2207918,165903,6136844,44,286.65996,230,421313,27338,478,0,21379,6495,9379,61.27675,81,5.85191,44955.40611,15600.88205,2852.28727,360.79664
JAMMU AND KASHMIR,BARAMULLA 10182,62203,259649,2508,158139,5864,881,645627,505604,21625,89179,23455,26,332.71071,0,8142,23809,17,48,3478,1417,365,7.26822,47,30.96946,552.77866,105.67788,551.18772,40.96919
MAHARASHTRA,RATNAGIRI 10370,510279,1042864,47861,597677,75162,13341,650715,123361,353195,58709,294308,31,291.11752,81,49764,148342,64,8,27239,35556,4365,7.55161,74,23.12715,8939.02632,2161.18741,672.65262,0.0
ASSAM,MAJULI 10802,361943,91902,212277,278792,18363,34618,935728,212544,105829,28716,342222,36,243.70351,10,56516,58057,203,0,65822,54026,6134,5.37133,100,12.14024,3548.20448,4150.58269,227.19059,0.0
PUNJAB,LUDHIANA 10447,101415,67254,24069,100956,88589,3,885178,768811,793802,97,946846,28,328.55939,53,76427,31253,20,18,9652,7654,2576,10.50387,14,43.59047,5092.58748,3125.92349,1280.65931,0.0
BIHAR,BEGUSARAI 10492,573635,199122,208706,420405,37030,8935,9768296,1947544,149362,255410,3063199,29,218.64369,119,105798,81562,128,0,33495,27216,3174,7.2981,84,38.87895,8398.74502,5770.67239,1538.17912,89.97067
ODISHA,GAJAPATI 10128,152503,335710,240006,319446,73009,21121,2080646,5311862,178906,380559,1720380,43,249.87109,3212,203181,50044,554,0,61812,9644,3760,25.89861,71,50.06853,2346.59281,16154.96615,822.99413,144.00079
HIMACHAL PRADESH,SIRMAUR 10006,86991,605644,4734,344901,920,11190,7624134,1257492,326835,3799,30521,26,257.39071,142,18891,28020,9,1,8620,11557,2545,19.74748,68,42.63718,1973.19951,2462.0357,520.54903,549.38494
TAMIL NADU,THANJAVUR 10795,127274,222414,162725,678918,95034,24346,2525250,17257041,3438508,146035,5905862,28,231.72237,1080,108995,168729,2995,0,13587,5597,9224,51.06077,60,4.07406,14297.90293,10549.98693,707.17814,340.42266
RAJASTHAN,SAWAI MADHOPUR 10266,486216,743098,142169,529076,153401,68400,7271269,4402155,2230435,1597739,10447193,48,199.00352,246,156810,128617,284,1,34507,13354,695,49.34526,47,19.23366,8201.80181,7270.87901,588.45968,201.30478
MANIPUR,CHANDEL,37801,82630,63624,79160,1,68592,1926455,0,0,0,15649,25,1574.34806,0,22316,6142,2,323,858,643,30,44.89811,0,22.39391,389.65072,2086.2795,640.01134,5.39698
MAHARASHTRA,UPPER SANGLI,354732,741968,145776,94351,31735,43294,7728671,510452,177894,69720,188673,22,271.17241,871,7763,55457,129,17,24492,41751,2636,25.60942,84,78.51816,2699.4233,9581.84118,596.69707,28.59155
JAMMU AND KASHMIR,KISHTWAR,115116,84836,35791,81900,3370,7922,1882403,109455,146,15974,27314,31,295.73199,83,30730,5375,31,0,5237,5779,434,3.34489,29,49.04853,2662.34784,907.93488,74.81984,74.91351
JAMMU AND KASHMIR,REASI 10421,99779,102387,72463,164212,41,52432,1767142,161847,7294,36598,97721,28,270.79002,3,21734,13999,0,6,17283,6150,410,5.75798,65,41.33018,2654.15489,1453.46035,189.58605,59.6342
KARNATAKA,BENGALURU 10568,174821,231068,161379,482067,7249,99377,4944547,924650,268548,275631,939882,32,317.97556,2427,234238,151870,724,0,32635,16763,6718,37.69662,82,27.80868,28848.44643,8950.27184,3630.4224,129.62901
CHHATTISGARH,EAST JANJGIR-CHAMPA,124235,219351,126381,287855,37303,28901,2307904,2519641,487790,343904,402175,34,230.01651,563,57710,81074,640,3,8290,6024,7716,28.32457,55,21.33167,7869.89995,2478.10737,643.45876,262.17954
KERALA,THRISSUR 10246,166955,401224,243082,391183,30554,2231,6559844,2419959,89392,48893,2152253,27,323.30198,384,51268,51428,87,0,29291,23041,5633,9.34557,39,48.00542,17840.93217,12857.04701,502.38814,45.26943
ARUNACHAL PRADESH,UPPER DIBANG VALLEY 10348,16147,7980,7707,11213,7,7581,1269391,242439,0,92179,4146,38,264.48982,0,9658,473,0,100,396,232,29,0.64154,0,38.58711,273.9034,389.60025,286.66319,4.83383
PUNJAB,JALANDHAR ABAD,82246,171976,117000,27305,55635,8,1004431,1663267,945633,253,305147,20,314.19029,15,7845,32020,15,7,5307,4484,2049,11.28059,50,75.28937,5998.21846,4230.15013,210.47172,0.0
JAMMU AND KASHMIR,BANDIPORA 10424,87823,168847,46585,55889,6426,3892,1545146,482132,608,8639,21165,21,295.68726,0,3487,25748,21,21,9010,7145,672,26.84251,71,13.8928,2823.20519,812.69006,301.26918,117.88786
PUNJAB,RURAL Pathankot,138471,46675,29446,40327,30529,94,1174387,767392,275466,0,332540,20,281.32691,48,31279,24134,120,1,4370,6640,338,23.03466,25,51.65139,3242.21994,781.35052,693.70052,0.0
PUNJAB,KAPURTHALA 10149,100177,195504,41461,106234,71545,69,1713597,466105,700761,158,229425,28,288.55485,44,8668,26822,38,7,2008,1363,700,11.26745,13,23.50698,3579.46965,1700.17042,223.71518,0.0
CHHATTISGARH,GAURELA PENDRA MARWAHI NAGAR,38818,255198,40473,274494,40441,20222,7181282,2980449,445432,611274,786763,38,183.33914,226,55209,34293,1257,0,2911,5722,5933,58.44558,52,30.14391,1719.32643,2759.6452,579.20146,83.22234
UTTAR PRADESH,BUDAUN 10815,190342,645766,181613,283432,103517,180,3696813,1893651,364875,991,800633,41,251.65041,75,50916,55487,429,8,82879,23448,2406,21.13137,52,48.71088,10532.56118,2893.37519,3421.55456,44.10359
WEST BENGAL,EAST JHARGRAM,377474,289033,213156,1136890,253848,48910,0,18505,0,0,1184,0,212.71178,0,0,100,0,41,25645,37362,493,0.0,51,16.67778,176.16818,109.26611,0.0,168.30945
BIHAR,AURANAGABAD 10217,349794,531332,241304,401616,26976,14567,6198713,2219994,224801,80688,2962433,29,221.14616,245,66700,73612,142,5,17497,17166,11420,13.88235,69,73.58209,9550.21096,7054.2372,4381.67963,36.45456
TELANGANA,Medak 10655,241061,656487,87254,117399,51312,32218,1826146,2195796,442393,1252629,2202356,25,189.37841,137,137757,156618,1897,0,13160,14269,1905,64.4645,26,67.36116,9753.53864,5184.79083,4122.8572,273.96827
JAMMU AND KASHMIR,SAMBA 10321,59366,79210,51528,73566,15802,46316,881266,497363,111,2181,93331,36,144.20327,3,6147,5270,22,2,31887,15741,6769,5.86016,67,15.81128,207.35324,452.32597,63.30203,61.50253
ANDHRA PRADESH,ELURU 10582,174970,676925,298522,267840,210565,13554,6606665,5968025,1569791,102069,11525683,44,235.44363,8240,140650,217140,4314,21,51275,54680,15994,55.07034,56,5.03555,43731.57124,15781.9312,3502.63186,292.02835
KERALA,KANNUR 10035,164568,592590,113494,142307,45358,24678,7877864,2053940,110818,763685,1474383,30,337.12118,261,69061,141743,387,0,44268,16841,8968,42.84687,47,38.84555,9588.67649,5499.17606,524.62451,39.67805
ANDHRA PRADESH,ANNAMAYYA 10038,283635,312634,269008,476094,108028,24300,5254045,7279819,2078651,91064,1802006,51,226.17489,849,85468,307918,3229,4,67442,37108,8672,52.01618,44,76.52771,40785.71298,13319.96015,4623.20724,577.54735
CHHATTISGARH,KONDAGAON 10294,137063,324623,79740,47320,83664,82764,2844755,463373,226974,1043505,1507689,45,173.05431,474,51657,79180,91,0,15548,10874,5661,47.32465,62,46.37731,7297.82828,5568.31968,2270.23232,76.94748
WEST BENGAL,HOOGHLY 10022,415459,1951637,457810,1640720,145622,124335,0,3145,6462,26,0,26,0.0,0,0,83,0,249,116934,29674,511,0.0274,45,26.18081,275.92633,0.0,0.0,276.50281
UTTAR PRADESH,MUZAFFARNAGAR 10063,182935,72366,228642,206155,55703,110904,1991021,700497,1306550,11763,671185,38,211.64971,553,5366,48188,17,2,14559,28792,5061,31.04525,13,49.20905,6441.55825,4487.99012,3363.80455,92.22143
MAHARASHTRA,RATNAGIRI 10726,387936,810132,161408,454504,32556,41227,2830977,2093110,333524,20956,106616,21,200.89051,72,78226,60203,77,27,44485,37393,1467,16.89947,86,41.88573,5830.58522,1636.69691,2046.80363,83.78807
ARUNACHAL PRADESH,ANJAW 10075,5408,9645,15812,31047,4,7080,1311770,222322,0,9656,53724,14,30.37958,0,4763,3051,5,0,393,690,129,5.17774,58,0.0,857.86325,1537.32234,56.93641,40.42989
ASSAM,RURAL CHARAIDEO,210528,562744,82909,156281,16576,12123,1143242,1942567,109615,269214,765047,36,231.56076,45,50113,119473,3,0,43339,45574,3879,8.98788,101,15.91851,1169.62466,2405.49905,309.49471,0.0
MEGHALAYA,EAST GARO HILLS 10096,26218,87214,49156,92804,1568,106452,2873542,919680,341,789455,403932,21,254.38973,324,29195,35796,81,35,5948,7720,560,15.23501,15,46.30624,2807.68335,5836.92472,1128.37058,81.16931
JAMMU AND KASHMIR,NORTH KULGAM,6893,227051,40137,197686,2,4707,1988508,92909,29155,48299,101987,27,160.86169,92,29927,23699,29,2,5897,19025,382,3.33207,74,30.46465,2068.09333,424.10085,69.73394,66.23186
RAJASTHAN,SRI GANGANAGAR 10616,566767,900810,304410,696488,132336,116093,5087247,1804458,710710,86002,1929102,34,207.03418,51,343360,111283,567,2,12233,5095,3110,44.02946,46,31.52083,3555.40032,1680.23779,824.77056,123.60288
ASSAM,RURAL Morigaon,244657,266809,183790,201162,5462,4024,629419,1562480,12526,144113,797125,29,265.92225,100,54973,52439,99,0,54219,4262,13307,5.83832,83,37.73304,3759.96367,2654.32442,7.91561,0.0
UTTARAKHAND,DEHRADUN 10011,51407,88531,42125,63699,15757,86,514839,1028814,42482,1646,215411,26,215.21021,409,14641,12631,74,5,5874,15484,1678,5.05622,54,37.99618,1251.75366,708.25139,2712.81168,85.61504
ANDHRA PRADESH,ANAKAPALLI MANDAL,402634,652059,409028,736528,109148,37457,4712923,6951723,1920559,87970,4332186,45,227.69893,7357,142632,356264,2832,1,51055,26284,5958,18.18543,65,30.70189,52011.2743,21381.63347,8349.65878,539.08418
TELANGANA,Khammam 10285,203406,170390,7582,201680,39937,4053,3668776,37971,481610,399172,3441071,37,165.73104,9,155260,126877,1214,0,18136,10944,2606,26.93921,37,26.28946,10814.84914,6120.18333,3062.93416,274.12488
GUJARAT,BHAVNAGAR 10480,197642,1117036,17388,69185,6013,945,464128,848897,40583,283,196402,31,221.33618,1,9786,45875,259,68,15287,95883,2139,32.27286,64,19.80223,3340.76849,430.52989,118.29379,48.93709
GUJARAT,MAHISAGAR 10426,51925,63950,13781,140673,6488,224,814926,95393,53277,1019678,134233,25,204.99671,74,2053,98146,247,111,2334,5204,379,45.54596,72,4.35661,1586.702,3276.23684,287.02737,395.28575
SIKKIM,SORENG 10021,8327,50990,10330,9943,2015,12080,412226,458111,20587,156967,45801,39,260.04204,205,4922,9336,20,0,1224,2492,755,2.95716,76,57.71465,450.55869,1140.95484,591.7128,37.49752
ASSAM,GOALPARA 10213,150604,156399,93802,303414,8456,3422,1598699,1189528,133448,11537,806382,36,252.87515,287,57408,65444,27,0,17699,19807,2167,0.48933,99,28.48658,3180.85135,5973.31226,502.40608,0.0
GUJARAT,MAHESANA 10383,145347,257893,80594,78018,15294,311,2707644,1206221,58780,1048776,1026195,50,202.30752,16,11481,11933,51,11,8798,11939,73,15.96801,76,10.4336,1450.20959,676.84303,367.45269,41.77987
ODISHA,GANJAM,131744,303357,131679,156155,30961,79500,1983759,1498536,644856,2600049,1118330,43,235.04677,7050,84769,97070,314,0,8209,31790,701,31.01944,60,32.46391,4277.19256,2713.09207,374.03689,81.18014
ANDAMAN AND NICOBAR,SOUTH ANDAMAN 10068,17111,16002,1065,5142,0,1813,81550,4189,0,0,19704,27,1621.39151,9,539,509,1,3,390,491,218,43.41467,5,16.66929,5.31199,5.63132,4.71327,2.93557
TELANGANA,Yadadri Bhuvanagiri 10549,106432,239671,90642,392547,42433,23704,1128442,2603409,154091,151346,1143683,33,181.38378,1324,59054,103044,1188,8,1751,8657,2501,5.41156,23,65.52278,9876.85568,5211.62193,5820.85257,243.9399
ANDHRA PRADESH,OLD KRISHNA,346144,63556,29983,196716,9856,32800,6295826,10451192,3552804,9194825,4087191,48,220.73503,5756,108616,260577,2503,2,5816,31492,9082,16.35818,73,79.81563,12103.57061,16837.79794,7160.07375,408.17864
BIHAR,MADHUBANI 10575,194514,468554,121124,220473,30302,5876,6474282,4091870,326087,23614,1517657,30,268.27801,627,43042,144823,202,8,38527,12340,8310,49.9361,67,27.63716,19070.37891,10301.42386,5501.68981,161.82667
PUNJAB,SAS NAGAR MOHALI GARH,54415,147474,23270,138404,68799,67,1375808,513230,937089,419,201939,20,304.44406,4,49868,50741,56,20,11706,3379,1203,6.45652,37,49.10697,3604.54043,951.80186,918.08349,0.0
CHHATTISGARH,BILASPUR 10364,131217,231783,106969,266230,47027,44985,4663779,1805997,355043,398001,176442,32,190.05761,1333,44442,87401,596,13,11286,6510,937,27.08853,44,35.36159,4876.02042,1229.35131,1548.80616,261.70659
GUJARAT,AHMADABAD 10033,133785,352204,92999,146926,3894,16,811949,1194000,329263,31033,193289,39,261.88256,53,32692,51058,125,110,20750,43903,452,40.30495,74,6.99252,2135.80702,757.74169,517.72201,106.88599
UTTARAKHAND,TEHRI GARHWAL 10196,63770,90387,68289,144450,16653,322,508152,311300,72583,280,361395,23,237.5562,306,29782,54345,76,11,6478,5250,962,27.6727,39,47.50377,2178.38241,645.22927,586.77916,36.01381
UTTAR PRADESH,CHITRAKOOT 10972,125707,17519,208431,431863,58586,428,8782235,91,486462,24415,773721,12,239.52464,140,54893,183252,100,4,76114,20849,3290,19.44716,67,27.54022,26436.8893,1683.77751,2067.0078,180.76386
BIHAR,GREATER PASHCHIM CHAMPARAN,477503,1062988,377814,278208,44964,30684,2220378,4451282,296409,11546,2532218,29,218.2683,175,66741,115588,64,9,15746,33549,10852,4.9963,60,37.67377,10637.8923,3007.03419,4290.88042,86.94147
ANDHRA PRADESH,VISAKHAPATANAM 10442,415153,63112,422282,418736,79964,1621,9067548,11204301,981481,689438,7190434,48,236.6476,483,149084,198069,2973,2,50775,49458,3699,51.47613,46,30.72197,20543.87414,18922.78795,4372.92822,592.96392
SIKKIM,Namchi District 10008,14933,24068,14676,13610,882,4527,849250,259062,19629,122903,173691,43,229.73218,82,6170,11006,7,0,1020,994,120,12.03141,57,81.25592,439.72401,915.03371,545.74458,35.33438
ASSAM,NALBARI 10020,34605,307274,92864,143097,6489,4040,899616,1128443,54804,224875,658357,39,244.26243,65,40123,132828,41,0,27259,19554,24918,0.76624,91,16.68058,585.39718,4246.16959,129.59016,0.0
JAMMU AND KASHMIR,UPPER KISHTWAR,88035,252543,93537,191610,41,11657,1955881,101467,596,7976,387041,19,607.26626,7,20691,7503,210,23,25888,6067,4926,6.41366,54,12.78087,2593.92599,387.28106,271.89115,122.86583
JHARKHAND,JAMTARA 10416,159948,547647,145421,246341,14680,29861,3127280,1918443,249292,705751,1361845,37,273.16012,984,161772,106267,157,8,23121,25513,16098,52.56671,98,60.68747,6858.7544,4330.85564,1994.00725,60.10273
TAMIL NADU,LOWER TIRUVANNAMALAI,323662,597470,293347,793666,81424,7590,13316011,7425735,1807263,51163,1183074,28,272.1661,1365,19061,155701,4329,0,28694,7285,9994,45.11458,37,72.78114,13617.67256,15920.81733,4401.1032,196.6534
ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN 10050,13108,29342,6352,11144,0,0,74546,4293,0,4631,1529,28,109.11241,0,1224,1684,0,0,375,428,0,47.74124,5,4.37431,79.28227,5.09372,0.0,2.96393
MANIPUR,IMPHAL WEST 10075,59814,27772,66777,29661,210,67736,337440,232305,80,37766,59120,11,587.89897,0,1238,6305,8,359,3454,1156,3,4.40387,1,23.79925,2068.25818,2010.4121,652.90899,8.93373
UTTAR PRADESH,MEERUT 10215,130203,151330,144703,12287,28998,14,2220826,968534,6500,5100,1616477,30,238.23933,0,82355,113000,185,3,22966,37477,246,20.96086,36,33.35657,2316.56445,759.43018,1683.53294,80.41713
MIZORAM,WEST HNAHTHIAL,38304,6887,6132,24541,6,36611,1074738,977961,0,963217,607403,47,348.62715,0,11165,20444,2,0,263,107,1160,1.22746,39,74.22851,1678.93666,2847.10975,619.68913,51.48391
PUNJAB,AMRITSAR 10133,106320,56602,32768,74985,63136,5,2426363,1047306,345981,45,266979,25,313.69816,50,27811,14124,202,31,3784,2920,644,30.90858,37,48.6479,3764.1468,2950.64858,594.55789,0.0
ARUNACHAL PRADESH,LOHIT HILLS,10572,43888,10942,12048,1,18795,164298,83266,0,693845,20522,21,332.32907,0,79,6574,0,16,444,260,0,0.0,0,42.27253,1187.7005,222.83093,1292.26463,2.93564
UTTARAKHAND,DEHRADUN,132936,64625,92667,67687,17413,222,2145963,305454,232174,4258,322040,20,247.61442,30,35028,13237,94,15,15006,10271,1426,20.91815,40,43.49295,1229.18469,994.32184,245.71544,88.37904
BIHAR,BHOJPUR 10330,398586,1174091,204053,390283,48301,3606,7660559,957897,809060,47489,2162950,31,263.29001,167,82325,120567,122,3,63809,15020,4666,24.0346,81,53.35395,7777.36959,6745.56557,3095.51335,165.808
ARUNACHAL PRADESH,PAKKE KESSANG 10582,29467,14832,13063,23161,0,15404,541120,39198,0,135872,47181,16,646.83684,9,4643,20522,0,50,499,410,1,0.49751,0,46.58116,69.10485,25.30776,0.66705,12.78608
ASSAM,SONITPUR 10701,150569,271995,150437,176851,9370,71550,1665172,1159303,92933,63426,667095,26,230.40648,16,95981,53076,89,0,50396,46574,10660,4.34994,93,35.51978,2935.29508,4050.93151,505.03869,0.0
GUJARAT,KACHCHH 10198,130742,408436,73355,631594,2728,39,3942309,111072,24161,379798,149590,35,192.78744,159,32607,4075,18,17,3353,5091,116,33.97673,71,12.02789,3236.786,934.11871,944.56211,109.75116
TAMIL NADU,TIRUNELVELI 10812,243408,387709,252073,456002,79685,10791,13633176,12592524,2016996,17310,4618527,37,280.19226,678,233629,335770,2709,0,17941,3420,1367,71.52696,72,14.83221,13942.19192,10966.74114,3806.20117,336.75084
MADHYA PRADESH,NEEMUCH 10321,198777,170733,171070,281184,28651,22323,5228148,1470194,142236,540522,280837,26,222.81747,327,49717,107032,2991,1,20971,8272,2146,52.58503,62,26.36885,6854.6505,5891.68816,788.98868,209.91089
ODISHA,MALKANGIRI 10448,63380,273578,130692,566759,20604,157008,1441084,981871,235249,397346,481588,41,214.99824,948,51465,223237,512,0,20308,15526,6431,23.13011,46,45.35291,4049.92082,3343.29122,208.67276,86.55106
MANIPUR,EAST TENGNOUPAL,32460,46950,48472,47331,62,75715,541195,44032,24,1588,3239,18,215.15977,0,5060,13797,2,0,2713,468,0,40.72457,0,22.41311,1678.57062,599.71924,599.91626,0.0
ASSAM,KOKRAJHAR 10168,74017,347970,133139,269989,17991,15159,1298876,687518,25445,4325,577799,34,214.44747,45,6906,91867,77,0,34343,32263,9737,5.7846,91,10.227,4660.56824,4323.87106,749.10206,0.0
GUJARAT,PORBANDAR 10684,123416,162207,10103,189063,5138,451,1689606,563574,13191,582483,161703,43,250.79291,1,9295,209552,323,0,8131,1570,1070,29.82872,74,9.12583,1317.55815,3295.6478,700.03813,111.8366
MADHYA PRADESH,KHANDWA 11005,95800,375130,149453,177840,65817,21377,1673254,286000,294420,870176,435627,37,243.60941,18,16687,66158,449,0,14163,27839,12044,59.75011,72,36.71862,7955.62208,4429.13606,1161.33368,195.57299
ARUNACHAL PRADESH,GREATER SIANG,6226,42593,15007,31159,1,11524,305520,9499,0,84774,4201,16,191.12179,0,4532,2123,0,118,301,377,1,0.0,0,0.0,357.66489,42.87044,538.49824,11.15885
NAGALAND,PEREN RANGE,40328,151431,51671,39701,0,68131,1029962,771095,0,1696995,1117256,31,218.3293,5,23537,23636,27,1,454,916,33,3.50601,0,65.88026,3548.78487,5397.34613,796.62049,48.73038
CHHATTISGARH,RURAL RAIPUR,121294,149009,35462,253158,5861,25685,2836651,2614933,100969,624954,1042581,33,232.37463,116,99626,15611,527,0,9436,10430,7072,51.04707,55,72.57705,6594.02861,1836.28447,3050.58014,172.56849
WEST BENGAL,SILIGURI MAHAKUMA PARISAD ABAD,721075,1796452,130581,1050005,133281,23513,0,18,5791,0,3486,30,0.0,0,0,0,2,64,4707,117821,269,0.0,59,26.80816,553.29537,2.62987,0.0,288.78307
RAJASTHAN,SIROHI 10711,286133,1233426,384784,577613,226991,67331,3840849,864812,438328,1268542,750382,28,221.63542,252,56874,116415,570,3,13141,30491,1855,26.40017,50,55.8611,4094.69008,12685.16564,88.95987,79.94296
ANDHRA PRADESH,TIRUPATI NAGAR,472059,600355,126692,477658,89717,29780,6342850,8221754,1264434,68176,1603808,33,255.4837,5217,173010,305703,2456,4,56682,45995,3590,25.84766,29,30.00423,40252.99658,17600.17529,3709.25482,1021.63764
UTTAR PRADESH,MORADABAD ABAD,142363,216303,176667,148718,143376,461,289157,2663749,1365811,47259,2626592,31,243.6205,248,40728,16721,7,2,51988,24752,10584,33.53701,51,23.42737,13959.06782,2570.77401,4878.38614,63.67904
ASSAM,GREATER WEST KARBI ANGLONG,39512,194175,165844,88480,5591,12529,611945,1174429,115932,177249,555783,28,259.301,5,41877,62738,115,0,36742,21664,5043,17.2632,104,30.84363,7576.60418,3517.94571,85.09393,0.0
BIHAR,MADHEPURA 10148,230330,614687,317222,420069,32086,2944,3430109,3535336,1090041,34653,911555,33,234.52066,109,108679,71249,61,0,118403,34454,12377,30.35589,28,61.50311,15206.94466,5581.86131,1696.31811,50.92034
GUJARAT,PATAN ABAD,50297,148012,14899,173369,3977,265,1402697,347790,9059,789,167355,51,212.3949,41,55197,13506,9,12,13250,3502,1238,19.37195,78,32.34957,1450.91464,3660.44301,800.24046,58.46392
UTTAR PRADESH,RAE BARELI 10317,149557,282077,279640,366623,11,940,3382616,89,427926,6603,192965,38,246.23184,2,61762,88285,80,2,51355,43513,4750,38.84651,16,38.91293,22078.28948,6596.6363,964.21976,64.6886
CHHATTISGARH,OLD SAKTI,39351,403267,135770,312501,5825,69117,2925455,2816741,48277,634004,409908,36,193.56939,920,47547,181245,1734,0,12072,6315,2698,48.76932,54,24.5766,1629.5889,5235.68332,1163.54969,188.83448
JHARKHAND,SIMDEGA 10307,341503,562686,116252,112406,19792,30659,4621605,2136780,55671,475433,2404773,33,234.97949,762,67621,117109,282,0,50086,33176,17254,7.00559,98,59.87167,6356.36538,1977.00913,1052.44764,114.41863
HARYANA,GURUGRAM NAGAR,69945,55569,15122,18972,2683,0,348643,361013,2142,0,15210,22,376.49597,1,45293,17954,0,104,2698,653,520,23.13246,0,68.47267,1636.5214,1178.83678,554.41324,33.29269
MADHYA PRADESH,BETUL 10949,291719,207806,44492,402247,51655,27412,1628394,373075,99636,1118868,266045,44,221.79477,109,20428,100917,316,4,23484,9857,13454,35.0699,68,20.31142,7867.92058,4080.146,5424.84794,332.43443
MAHARASHTRA,CHANDRAPUR 10309,126108,331917,42054,86088,47222,197379,1206803,1186532,52228,48008,571520,19,307.77267,564,10455,47994,114,25,25424,16458,1840,7.53947,80,25.72396,6296.06145,685.77279,1047.15405,11.98274
UTTAR PRADESH,KANPUR DEHAT,395377,611815,308235,275716,119560,153,1980317,8013234,2183572,5379,1688929,31,246.78893,61,1333,112647,106,0,20450,19546,3436,13.11198,71,26.8561,11383.70701,5274.68705,2084.57319,303.78687
